Akroma, Angel of Wrath|W|5WWW|Creature - Angel Legend|6/6|Flying, first strike, trample, haste, protection from black, protection from red. Attacking doesn't cause Akroma, Angel of Wrath to tap.|No rest.  No mercy.  No matter what.|Ron Spears|R|1/145|LE
Enormous Baloth|G|6G|Creature - Beast|7/7||"Its diet consists of fruits, plants, small woodland animals, large woodland animals, woodlands, fruit groves, fruit farmers, and small cities."|Mark Tedin|U|125/145|LE
Feral Throwback|G|4GG|Creature - Beast|3/3|Amplify 2 (As this card comes into play, put two +1/+1 counters on it for each Beast card you reveal in your hand). Provoke (When this attacks, you may have target creature defending player controls untap and block it if able)||Carl Critchlow|R|126/145|LE
Gempalm Strider|G|1G|Creature - Elf|2/2|Cycling 2GG (2GG, Discard this card from your hand: Draw a card). When you cycle Gempalm Strider, all Elves get +2/+2 until end of turn.||Tim Hildebrandt|U|127/145|LE
Glowering Rogon|G|5G|Creature - Beast|4/4|Amplify 1 (As this card comes into play, put a +1/+1 counter on it for each Beast card you reveal in your hand)|A herd of one.|Kev Walker|C|128/145|LE
Hundroog|G|6G|Creature - Beast|4/7|Cycling 3 (3, Discard this card from your hand: Draw a card)|New links are being added to the food chain on a daily basis. . -Riptide Project researcher|Wayne England|C|129/145|LE
Krosan Cloudscraper|G|7GGG|Creature - Beast Mutant|13/13|At the beginning of your upkeep, sacrifice Krosan Cloudscraper unless you pay GG. Morph 7GG (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost)||Ron Spears|R|130/145|LE
Krosan Vorine|G|3G|Creature - Cat Beast|3/2|Provoke (When this attacks, you may have target creature defending player controls untap and block it if able). Krosan Vorine can't be blocked by more than one creature.||Carl Critchlow|C|131/145|LE
Nantuko Vigilante|G|3G|Creature - Insect Druid Mutant|3/2|Morph 1G (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Nantuko Vigilante is turned face up, destroy target artifact or enchantment.||Alex Horley-Orlandelli|C|132/145|LE
Needleshot Gourna|G|4GG|Creature - Beast|3/6|Needleshot Gourna may block as though it had flying.|The first aven scout squad returned from Krosa with disturbing stories. The second returned with disturbing casualties.|Edward P. Beard, Jr.|C|133/145|LE
Patron of the Wild|G|G|Creature - Elf|1/1|Morph 2G (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Patron of the Wild is turned face up, target creature gets +3/+3 until end of turn.||Dave Dorman|C|134/145|LE
Primal Whisperer|G|4G|Creature - Elf Soldier|2/2|Primal Whisperer gets +2/+2 for each face-down creature in play. Morph 3G (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost)||Greg Staples|R|135/145|LE
Quick Sliver|G|1G|Creature - Sliver|1/1|You may play Quick Sliver any time you could play an instant. Any player may play Sliver cards any time he or she could play an instant.|The directors of the Riptide Project wanted instant results on the sliver experiments. They got their wish.|John Avon|C|136/145|LE
Root Sliver|G|3G|Creature - Sliver|2/2|Root Sliver can't be countered. . Sliver spells can't be countered.|It would take another apocalypse to stop the slivers now. -Riptide Project researcher|Matt Thompson|U|137/145|LE
Seedborn Muse|G|3GG|Creature - Spirit|2/4|Untap all permanents you control during each other player's untap step.|"Her voice is wilderness, savage and pure. -Kamahl,druid acolyte"|Adam Rex|R|138/145|LE
Stonewood Invoker|G|1G|Creature - Elf Mutant|2/2|7G: Stonewood Invoker gets +5/+5 until end of turn.|The Mirari pulses in his veins.|Eric Peterson|C|139/145|LE
Timberwatch Elf|G|2G|Creature - Elf|1/2|TAP: Target creature gets +X/+X until end of turn, where X is the number of Elves in play.|"Even through the Mirari's voice, the elves still hear the call of their kinship."|Dave Dorman|C|140/145|LE
Totem Speaker|G|4G|Creature - Elf Druid|3/3|Whenever a Beast comes into play, you may gain 3 life.|"Elves and beasts are tied together, and I am the knot that binds them."|Darrell Riche|U|141/145|LE
Tribal Forcemage|G|1G|Creature - Elf Wizard|1/1|Morph 1G (You may play this face down as a 2/2 creature for 3. Turn it face up any time for its morph cost). When Tribal Forcemage is turned face up, creatures of the type of your choice get +2/+2 and gain trample until end of turn.||Greg Staples|R|142/145|LE
Vexing Beetle|G|4G|Creature - Insect|3/3|Vexing Beetle can't be countered. . Vexing Beetle gets +3/+3 as long as no opponent controls a creature.|"As the Mirari's mutating effects grew out of control, centaurs and druids fled-but insects swarmed closer."|Matt Thompson|R|143/145|LE
Wirewood Channeler|G|3G|Creature - Elf|2/2|TAP: Add X mana of any one color to your mana pool, where X is the number of Elves in play.|Your words are meaningless. The rustling of leaves is the only language that makes any sense.|Alan Pollack|U|144/145|LE
Wirewood Hivemaster|G|1G|Creature - Elf|1/1|Whenever another nontoken Elf comes into play, you may put a 1/1 green Insect creature token into play.|Most insects have been drawn to the Mirari. But all that remain in Wirewood are under my care.|Darrell Riche|U|145/145|LE
